developer_id,developer_name
862,Ubisoft Vancouver
863,Majesco Games
864,TimeGate Studios
865,Pacific Century Cyber Works
866,"LDW, Big Fish Games"
867,"Rocksteady Studios, Virtuos"
868,Smilebit
869,Blue Shift
870,"Rovio Mobile, Rovio Entertainment"
871,Metro
872,iWin
873,"Treyarch, Shaba Games"
874,Prokion
875,2K Shanghai
876,Artech Studios
877,Crispy's
878,Left Field Productions
879,Mitchell
880,Activision Value
881,"Cyanide, Cyanide Studios"
882,AQ Interactive
883,Starfish SD
884,FuRyu
885,Sony Interactive Entertainment
886,InXile Entertainment
887,2015
888,Tornado Studios
889,Stainless Games
890,ZootFly
891,Empire Interactive
892,Southend Interactive
893,Amaze
894,Y's K
895,Data Design Interactive
896,Bec
897,"Io Interactive, Nixxes Software"
898,Handheld Games
899,"Tamsoft, D3Publisher"
900,Falcom
901,Metro Graphics
902,Lucky Chicken
903,"Matrix Software, Marvelous Entertainment"
904,Nautilus
905,Hasbro Interactive
906,Frogwares
907,Oxygen Interactive
908,Revolution Software
909,Larian Studios
910,Blueshift
911,Compile Heart
912,SolWorks
913,Magic Pixel Games
914,Gratuitous Games
915,Sanrio Digital
916,Griffin International
917,K2
918,"Hudson, NATSUME ATARI Inc."
919,Jet Black Games
920,Bits Studios
921,Piranha Bytes
922,Alphadream Corporation
923,Tecmo Koei Games
924,Phoenix Interactive Entertainment
925,"Tecmo, Ntreev Soft"
926,Monumental Games
927,Climax Entertainment
928,"Aspect, Takara Tomy"
929,Secret Stash Games
930,GungHo
931,Beyond Reality
932,Fall Line Studio
933,SoftMax
934,Bit Town
935,Phoenix Entertainment
936,Career Soft
937,Ubisoft Sao Paulo
938,Stealth Studios
939,Mobius Entertainment
940,Pseudo Interactive
941,Rhino Studios
942,Ivory Tower
943,Backbone Vancouver
944,Irem
945,Kodiak Interactive
946,Digital Fiction
947,MASA Group
948,Classic Media Distribution Limited
949,Swordfish Studios
950,ThatGameCompany
951,Creative Patterns
952,Osiris Studios
953,"Deep Silver, Sproing Interactive Media, Sproing"
954,Gunnar Games
955,2XL Games
956,Super X Studios
957,"Jellyvision, Iron Galaxy Studios"
958,Bongfish
959,Cranky Pants Games
960,Sun-Tec
961,Alpha Unit
962,Gimagin Games
963,"Sanzaru Games, Sanzaru Games, Inc."
964,CCP
965,Hitmaker
966,"SCEA, Think and Feel"
967,"MicroProse, n-Space"
968,Studio Saizensen
969,Ubisoft Annecy
970,Pyro Studios
971,WideScreen Games
972,Gaming Minds Studios
973,"Omega Force, Koei Canada"
974,Aspyr
975,Cauldron Ltd.
976,"Sega, Tom Create"
977,Mad Catz
978,Examu
979,Merscom LLC
980,Vivendi Games
981,RFX Interactive
982,FeelPlus
983,Spiders
984,GCP1
985,Nordcurrent
986,Zono Inc.
987,Software Creations
988,Pixel Tales
989,Magic Rings
990,"Artificial Mind and Movement, EA Redwood Shores"
991,Santa Cruz Games
992,Seta Corporation
993,BottleRocket Entertainment
994,Skip Ltd.
995,SME Dynamic Systems Limited
996,Game Sauce
997,Cinemaware
998,Games Farm
999,"Ubisoft, Ludia Inc."
1000,Tecmo Koei Canada
1001,Spellbound
1002,Buena Vista Games
1003,Independent Arts
1004,Panic Button
1005,Jack of All Games
1006,Escape
1007,Mad Doc Software
1008,Kronos Digital Entertainment
1009,Coyote Developments
1010,5pb
1011,NaturalMotion
1012,Hydravision
1013,Marvelous Inc.
1014,Big Ant Studios
1015,Performance Designed Products
1016,Backbone Emeryville
1017,"Gust, Idea Factory"
1018,Lost Toys
1019,UFO Interactive
1020,OneNine Studios
1021,Gogii Games
1022,"Eighting, Takara Tomy"
1023,Bitmap Brothers
1024,Koei Tecmo Games
1025,"Replay Studios, ML Enterprises"
1026,"Namco Bandai Games, Cellius"
1027,Magellan Interactive
1028,SimBin
1029,Swingin' Ape
1030,Funcom
1031,Konami Computer Entertainment Nagoya
1032,Joindots
1033,Asylum Entertainment
1034,Jaleco Entertainment
1035,Deep Silver
1036,EKO Software
1037,"Playlogic, The Game Factory"
1038,Experience Inc.
1039,Human Entertainment
1040,Kemco
1041,Kylotonn
1042,Stalker Entertainment
1043,Renegade Kid
1044,Eiconic Games
1045,DMi Games
1046,"Blitz Games, Human Soft"
1047,Game Life
1048,Cyanide
1049,"Buddiez, Inc."
1050,Lucas Learning
1051,"Amaze Entertainment, Walt Disney Japan"
1052,"Sega, French-Bread"
1053,FireFly Studios
1054,"Asmik Ace Entertainment, Inc"
1055,WinkySoft
1056,"Gearbox Software, WayForward"
1057,Ludia
1058,Darkworks
1059,Hudson Entertainment
1060,Namco Bandai Games America
1061,"Omiya Soft, Jamsworks"
1062,10tacle Studios
1063,"Disney Interactive Studios, Land Ho!"
1064,Lexis Numerique
1065,"Atari, Transmission Games, Atari SA"
1066,System 3
1067,eGames
1068,"Sony Online Entertainment, Mind Control Software"
1069,Carbine Studios
1070,Tenky
1071,N-Fusion Interactive Entertainment Corp.
1072,Taniko
1073,"Compile Heart, GCREST"
1074,Broadsword Interactive
1075,"Game Arts, Seta Corporation"
1076,Aqua Plus
1077,Croteam
1078,Zombie
1079,Le Cortex
1080,The Game Factory
1081,THQ Australia
1082,Ubisoft Nagoya
1083,Hypnos
1084,Interchannel
1085,Daedalic Entertainment
1086,"Genki, Kojima Productions"
1087,Warner Bros. Interactive Entertainment
1088,Her Interactive
1089,Nordic Games Publishing
1090,"THQ, Altron"
1091,Netherock Ltd.
1092,Felistella
1093,"Armature Studio, comcept"
1094,Ubisoft Bulgaria
1095,Re-Logic
1096,Two Tribes
1097,Sick Puppies
1098,Firehazard Studio
1099,Nicalis
1100,Tommo
1101,Zerodiv
1102,Liquid Entertainment
1103,Sting
1104,Mix Max
1105,"Sandlot Games, Digital Embryo"
1106,Microvision
1107,Million
1108,Ntreev Soft
1109,Dorasu
1110,Epics
1111,Westwood Studios
1112,FrontLine Studios
1113,Studio 33
1114,Bohemia Interactive
1115,Colossal Order
1116,Flight-Plan
1117,Yacht Club Games
1118,Seven45 Studios
1119,TopWare Interactive
1120,The Fun Pimps Entertainment LLC
1121,Astroll
1122,Next Entertainment
1123,Legacy Interactive
1124,Transmission Games
1125,"K2, Kurogane"
1126,Gaijin Games
1127,Culture Brain
1128,"Beenox, Other Ocean Interactive"
1129,Tripwire Interactive
1130,JV Games Inc.
1131,Top Heavy Studios
1132,Dreamcatcher
1133,DSI Games
1134,"Ubisoft, Moss"
1135,"Atari, Atari SA"
1136,"Pam Development, 2K Sports"
1137,"Microids, Dreamcatcher"
1138,Virtual Air Guitar Company
1139,"Big Blue Bubble Inc., Scholastic, Inc."
1140,"Venan Entertainment, Cashmere Prod."
1141,Sunflowers Interactive
1142,"Rocksteady Studios, Iron Galaxy Studios"
1143,Deck 13
1144,IR Gurus Interactive Ltd.
1145,"Phosphor Games Studio, LLC"
1146,Slam Games
1147,Outrage Games
1148,Platinum Egg
1149,Attention Software
1150,Premium Agency
1151,Syscom
1152,GlyphX Games
1153,ACOT
1154,Axis Entertainment
1155,Hot Lava Games
1156,Nfusion
1157,eV Interactive
1158,Kokolo Corporation
1159,Curly Monsters
1160,Curious Pictures
1161,Psikyo
1162,Tiertex Design Studios
1163,Graffiti Entertainment
1164,Deep Fried Entertainment
1165,Warashi
1166,Beep Industries
1167,I-Imagine
1168,Stormregion
1169,"Mindscape Inc., Mindscape"
1170,Kung Fu Factory
1171,"Game Arts, Japan Art Media (JAM)"
1172,Midway Studios - Newcastle
1173,Infogrames
1174,BIP Games
1175,EM Studios
1176,Acclaim Studios Manchester
1177,"Prope, Kadokawa"
1178,Cosmigo
1179,Zeroscale
1180,Moss
1181,369 Interactive
1182,puzzle.tv
1183,Visual Sciences
1184,Animation Arts
1185,Razorback Developments
1186,"Nippon Ichi Software, Hit Maker"
1187,Tactical Development
1188,"Artificial Studios, Immersion Software & Graphics"
1189,Empire Oxford
1190,Most Wanted Entertainment
1191,"Funatics Software, Funatics"
1192,Microsoft Game Studios Japan
1193,SNK
1194,Black Hole Games
1195,Frima Studio
1196,Agatsuma Entertainment
1197,"EA Tiburon, n-Space"
1198,Halfbrick Studios
1199,WorkJam
1200,Void Productions
1201,Trickstar Games
1202,Santa Entertainment
1203,Digital Embryo
1204,Micro Cabin
1205,Big Head Games Ltd.
1206,Guildford Studio
1207,Big Blue Entertainment
1208,"Amaze Entertainment, Vivendi Games"
1209,Supersonic Software
1210,Bionic Games
1211,Various
1212,Amanita Design
1213,"Aqua Pacific, In2Games"
1214,BeeWorks
1215,Mere Mortals
1216,Coyote Console
1217,Happy Happening
1218,Zed Two Limited
